OrderID,ProductID,Product,Discount Percent (Fixed)
10370,74,Longlife Tofu,0.15
10371,36,Inlagd Sill,0.2
10372,60,Camembert Pierrot,0.25
10372,38,Côte de Blaye,0.25
10372,72,Mozzarella di Giovanni,0.25
10372,20,Sir Rodney's Marmalade,0.25
10373,58,Escargots de Bourgogne,0.2
10373,71,Flotemysost,0.2
10376,31,Gorgonzola Telino,0.05
10377,39,Chartreuse verte,0.15
10377,28,Rössle Sauerkraut,0.15
10379,41,Jack's New England Clam Chowder,0.1
10379,65,Louisiana Fiery Hot Pepper Sauce,0.1
10379,63,Vegie-spread,0.1
10380,60,Camembert Pierrot,0.1
10380,30,Nord-Ost Matjeshering,0.1
10380,53,Perth Pasties,0.1
10385,60,Camembert Pierrot,0.2
10385,68,Scottish Longbreads,0.2
10385,7,Uncle Bob's Organic Dried Pears,0.2
10388,52,Filo Mix,0.2
10388,45,Rogede sild,0.2
10390,31,Gorgonzola Telino,0.1
10390,72,Mozzarella di Giovanni,0.1
10390,35,Steeleye Stout,0.1
10393,2,Chang,0.25
10393,26,Gumbär Gummibärchen,0.25
10393,25,NuNuCa Nuß-Nougat-Creme,0.25
10393,14,Tofu,0.25
10395,53,Perth Pasties,0.1
10395,46,Spegesild,0.1
10397,51,Manjimup Dried Apples,0.15
10397,21,Sir Rodney's Scones,0.15
10398,55,Pâté chinois,0.1
10403,48,Chocolade,0.15
10403,16,Pavlova,0.15
10404,26,Gumbär Gummibärchen,0.05
10404,49,Maxilaku,0.05
10404,42,Singaporean Hokkien Fried Mee,0.05
10406,40,Boston Crab Meat,0.1
10406,36,Inlagd Sill,0.1
10406,28,Rössle Sauerkraut,0.1
10406,21,Sir Rodney's Scones,0.1
10411,44,Gula Malacca,0.2
10411,41,Jack's New England Clam Chowder,0.2
10411,59,Raclette Courdavault,0.2
10412,14,Tofu,0.1
10414,19,Teatime Chocolate Biscuits,0.05
10417,68,Scottish Longbreads,0.25
10417,46,Spegesild,0.25
10419,60,Camembert Pierrot,0.05
10419,69,Gudbrandsdalsost,0.05
10420,13,Konbu,0.1
10420,9,Mishi Kobe Niku,0.1
10420,70,Outback Lager,0.1
10420,73,Röd Kaviar,0.1
10421,77,Original Frankfurter grüne Soße,0.15
10421,53,Perth Pasties,0.15
10421,19,Teatime Chocolate Biscuits,0.15
10424,38,Côte de Blaye,0.2
10424,68,Scottish Longbreads,0.2
10424,35,Steeleye Stout,0.2
10425,76,Lakkalikööri,0.25
10425,55,Pâté chinois,0.25
10429,63,Vegie-spread,0.25
10430,17,Alice Mutton,0.2
10430,59,Raclette Courdavault,0.2
10431,17,Alice Mutton,0.25
10431,40,Boston Crab Meat,0.25
10431,47,Zaanse koeken,0.25
10434,76,Lakkalikööri,0.15
10436,56,Gnocchi di nonna Alice,0.1
10436,75,Rhönbräu Klosterbier,0.1
10436,64,Wimmers gute Semmelknödel,0.1
10438,57,Ravioli Angelo,0.2
10438,34,Sasquatch Ale,0.2
10438,19,Teatime Chocolate Biscuits,0.2
10440,2,Chang,0.15
10440,16,Pavlova,0.15
10440,61,Sirop d'érable,0.15
10440,29,Thüringer Rostbratwurst,0.15
10443,11,Queso Cabrales,0.2
10446,52,Filo Mix,0.1
10446,31,Gorgonzola Telino,0.1
10446,24,Guaraná Fantástica,0.1
10446,19,Teatime Chocolate Biscuits,0.1
10450,10,Ikura,0.2
10450,54,Tourtière,0.2
10451,65,Louisiana Fiery Hot Pepper Sauce,0.1
10451,77,Original Frankfurter grüne Soße,0.1
10451,55,Pâté chinois,0.1
10451,64,Wimmers gute Semmelknödel,0.1
10452,44,Gula Malacca,0.05
10453,48,Chocolade,0.1
10453,70,Outback Lager,0.1
10454,33,Geitost,0.2
10454,16,Pavlova,0.2
10454,46,Spegesild,0.2
10456,49,Maxilaku,0.15
10456,21,Sir Rodney's Scones,0.15
10459,46,Spegesild,0.05
10459,7,Uncle Bob's Organic Dried Pears,0.05
10460,75,Rhönbräu Klosterbier,0.25
10460,68,Scottish Longbreads,0.25
10461,30,Nord-Ost Matjeshering,0.25
10461,55,Pâté chinois,0.25
10461,21,Sir Rodney's Scones,0.25
10464,4,Chef Anton's Cajun Seasoning,0.2
10464,56,Gnocchi di nonna Alice,0.2
10465,45,Rogede sild,0.1
10465,29,Thüringer Rostbratwurst,0.1
10469,2,Chang,0.15
10469,44,Gula Malacca,0.15
10469,16,Pavlova,0.15
10472,24,Guaraná Fantástica,0.05
10475,31,Gorgonzola Telino,0.15
10475,76,Lakkalikööri,0.15
10475,66,Louisiana Hot Spiced Okra,0.15
10476,55,Pâté chinois,0.05
10477,39,Chartreuse verte,0.25
10477,21,Sir Rodney's Scones,0.25
10478,10,Ikura,0.05
10483,77,Original Frankfurter grüne Soße,0.05
10483,34,Sasquatch Ale,0.05
10485,3,Aniseed Syrup,0.1
10485,2,Chang,0.1
10485,70,Outback Lager,0.1
10485,55,Pâté chinois,0.1
10487,54,Tourtière,0.25
10488,73,Röd Kaviar,0.2
10489,11,Queso Cabrales,0.25
10491,44,Gula Malacca,0.15
10491,77,Original Frankfurter grüne Soße,0.15
10492,25,NuNuCa Nuß-Nougat-Creme,0.05
10492,42,Singaporean Hokkien Fried Mee,0.05
10493,69,Gudbrandsdalsost,0.1
10493,65,Louisiana Fiery Hot Pepper Sauce,0.1
10493,66,Louisiana Hot Spiced Okra,0.1
10496,31,Gorgonzola Telino,0.05
10500,15,Genen Shouyu,0.05
10500,28,Rössle Sauerkraut,0.05
10506,25,NuNuCa Nuß-Nougat-Creme,0.1
10506,70,Outback Lager,0.1
10507,48,Chocolade,0.15
10507,43,Ipoh Coffee,0.15
10510,75,Rhönbräu Klosterbier,0.1
10511,4,Chef Anton's Cajun Seasoning,0.15
10511,8,Northwoods Cranberry Sauce,0.15
10511,7,Uncle Bob's Organic Dried Pears,0.15
10512,60,Camembert Pierrot,0.15
10512,24,Guaraná Fantástica,0.15
10512,46,Spegesild,0.15
10512,47,Zaanse koeken,0.15
10513,32,Mascarpone Fabioli,0.2
10513,21,Sir Rodney's Scones,0.2
10513,61,Sirop d'érable,0.2
10515,60,Camembert Pierrot,0.15
10515,33,Geitost,0.15
10515,9,Mishi Kobe Niku,0.15
10516,18,Carnarvon Tigers,0.1
10516,41,Jack's New England Clam Chowder,0.1
10519,60,Camembert Pierrot,0.05
10519,10,Ikura,0.05
10522,40,Boston Crab Meat,0.2
10522,1,Chai,0.2
10522,30,Nord-Ost Matjeshering,0.2
10523,17,Alice Mutton,0.1
10523,37,Gravad lax,0.1
10523,41,Jack's New England Clam Chowder,0.1
10523,20,Sir Rodney's Marmalade,0.1
10525,40,Boston Crab Meat,0.1
10526,1,Chai,0.15
10526,56,Gnocchi di nonna Alice,0.15
10527,4,Chef Anton's Cajun Seasoning,0.1
10527,36,Inlagd Sill,0.1
10528,33,Geitost,0.2
10533,4,Chef Anton's Cajun Seasoning,0.05
10533,73,Röd Kaviar,0.05
10534,40,Boston Crab Meat,0.2
10534,54,Tourtière,0.2
10535,40,Boston Crab Meat,0.1
10535,11,Queso Cabrales,0.1
10535,59,Raclette Courdavault,0.1
10535,57,Ravioli Angelo,0.1
10536,60,Camembert Pierrot,0.25
10536,12,Queso Manchego La Pastora,0.25
10541,38,Côte de Blaye,0.1
10541,71,Flotemysost,0.1
10541,24,Guaraná Fantástica,0.1
10541,65,Louisiana Fiery Hot Pepper Sauce,0.1
10542,11,Queso Cabrales,0.05
10542,54,Tourtière,0.05
10543,12,Queso Manchego La Pastora,0.15
10543,23,Tunnbröd,0.15
10547,32,Mascarpone Fabioli,0.15
10548,34,Sasquatch Ale,0.25
10549,31,Gorgonzola Telino,0.15
10549,51,Manjimup Dried Apples,0.15
10549,45,Rogede sild,0.15
10550,17,Alice Mutton,0.1
10550,21,Sir Rodney's Scones,0.1
10550,61,Sirop d'érable,0.1
10551,16,Pavlova,0.15
10551,35,Steeleye Stout,0.15
10554,77,Original Frankfurter grüne Soße,0.05
10554,16,Pavlova,0.05
10554,62,Tarte au sucre,0.05
10554,23,Tunnbröd,0.05
10555,56,Gnocchi di nonna Alice,0.2
10555,24,Guaraná Fantástica,0.2
10555,51,Manjimup Dried Apples,0.2
10555,19,Teatime Chocolate Biscuits,0.2
10555,14,Tofu,0.2
10559,41,Jack's New England Clam Chowder,0.05
10559,55,Pâté chinois,0.05
10560,62,Tarte au sucre,0.25
10562,33,Geitost,0.1
10562,62,Tarte au sucre,0.1
10564,17,Alice Mutton,0.05
10564,31,Gorgonzola Telino,0.05
10564,55,Pâté chinois,0.05
10565,24,Guaraná Fantástica,0.1
10565,64,Wimmers gute Semmelknödel,0.1
10566,18,Carnarvon Tigers,0.15
10566,11,Queso Cabrales,0.15
10567,31,Gorgonzola Telino,0.2
10567,59,Raclette Courdavault,0.2
10569,31,Gorgonzola Telino,0.2
10570,56,Gnocchi di nonna Alice,0.05
10570,11,Queso Cabrales,0.05
10571,42,Singaporean Hokkien Fried Mee,0.15
10571,14,Tofu,0.15
10572,32,Mascarpone Fabioli,0.1
10572,16,Pavlova,0.1
10572,75,Rhönbräu Klosterbier,0.1
10580,41,Jack's New England Clam Chowder,0.05
10580,65,Louisiana Fiery Hot Pepper Sauce,0.05
10580,14,Tofu,0.05
10581,75,Rhönbräu Klosterbier,0.2
10583,60,Camembert Pierrot,0.15
10583,69,Gudbrandsdalsost,0.15
10584,31,Gorgonzola Telino,0.05
10586,52,Filo Mix,0.15
10588,18,Carnarvon Tigers,0.2
10588,42,Singaporean Hokkien Fried Mee,0.2
10590,77,Original Frankfurter grüne Soße,0.05
10592,15,Genen Shouyu,0.05
10592,26,Gumbär Gummibärchen,0.05
10593,69,Gudbrandsdalsost,0.2
10593,76,Lakkalikööri,0.2
10593,20,Sir Rodney's Marmalade,0.2
10595,69,Gudbrandsdalsost,0.25
10595,61,Sirop d'érable,0.25
10595,35,Steeleye Stout,0.25
10596,56,Gnocchi di nonna Alice,0.2
10596,75,Rhönbräu Klosterbier,0.2
10596,63,Vegie-spread,0.2
10597,24,Guaraná Fantástica,0.2
10597,65,Louisiana Fiery Hot Pepper Sauce,0.2
10602,77,Original Frankfurter grüne Soße,0.25
10603,49,Maxilaku,0.05
10604,48,Chocolade,0.1
10604,76,Lakkalikööri,0.1
10605,60,Camembert Pierrot,0.05
10605,71,Flotemysost,0.05
10605,16,Pavlova,0.05
10605,59,Raclette Courdavault,0.05
10606,4,Chef Anton's Cajun Seasoning,0.2
10606,55,Pâté chinois,0.2
10606,62,Tarte au sucre,0.2
10610,36,Inlagd Sill,0.25
10613,13,Konbu,0.1
10616,38,Côte de Blaye,0.05
10616,71,Flotemysost,0.05
10616,70,Outback Lager,0.05
10617,59,Raclette Courdavault,0.15
10622,68,Scottish Longbreads,0.2
10623,21,Sir Rodney's Scones,0.1
10623,35,Steeleye Stout,0.1
10623,19,Teatime Chocolate Biscuits,0.1
10627,73,Röd Kaviar,0.15
10630,55,Pâté chinois,0.05
10631,75,Rhönbräu Klosterbier,0.1
10632,2,Chang,0.05
10632,33,Geitost,0.05
10633,26,Gumbär Gummibärchen,0.15
10633,13,Konbu,0.15
10633,12,Queso Manchego La Pastora,0.15
10633,62,Tarte au sucre,0.15
10635,4,Chef Anton's Cajun Seasoning,0.1
10635,5,Chef Anton's Gumbo Mix,0.1
10637,56,Gnocchi di nonna Alice,0.05
10637,50,Valkoinen suklaa,0.05
10640,69,Gudbrandsdalsost,0.25
10640,70,Outback Lager,0.25
10642,21,Sir Rodney's Scones,0.2
10642,61,Sirop d'érable,0.2
10643,39,Chartreuse verte,0.25
10643,28,Rössle Sauerkraut,0.25
10643,46,Spegesild,0.25
10644,18,Carnarvon Tigers,0.1
10644,46,Spegesild,0.1
10646,1,Chai,0.25
10646,71,Flotemysost,0.25
10646,10,Ikura,0.25
10646,77,Original Frankfurter grüne Soße,0.25
10648,24,Guaraná Fantástica,0.15
10650,53,Perth Pasties,0.05
10651,22,Gustaf's Knäckebröd,0.25
10651,19,Teatime Chocolate Biscuits,0.25
10652,30,Nord-Ost Matjeshering,0.25
10653,60,Camembert Pierrot,0.1
10653,16,Pavlova,0.1
10654,39,Chartreuse verte,0.1
10654,4,Chef Anton's Cajun Seasoning,0.1
10654,54,Tourtière,0.1
10655,41,Jack's New England Clam Chowder,0.2
10656,44,Gula Malacca,0.1
10656,14,Tofu,0.1
10656,47,Zaanse koeken,0.1
10658,40,Boston Crab Meat,0.05
10658,60,Camembert Pierrot,0.05
10658,77,Original Frankfurter grüne Soße,0.05
10659,40,Boston Crab Meat,0.05
10659,31,Gorgonzola Telino,0.05
10659,70,Outback Lager,0.05
10661,39,Chartreuse verte,0.2
10661,58,Escargots de Bourgogne,0.2
10663,40,Boston Crab Meat,0.05
10663,51,Manjimup Dried Apples,0.05
10663,42,Singaporean Hokkien Fried Mee,0.05
10664,56,Gnocchi di nonna Alice,0.15
10664,10,Ikura,0.15
10664,65,Louisiana Fiery Hot Pepper Sauce,0.15
10667,71,Flotemysost,0.2
10667,69,Gudbrandsdalsost,0.2
10668,31,Gorgonzola Telino,0.1
10668,55,Pâté chinois,0.1
10668,64,Wimmers gute Semmelknödel,0.1
10672,38,Côte de Blaye,0.1
10677,33,Geitost,0.15
10677,26,Gumbär Gummibärchen,0.15
10680,31,Gorgonzola Telino,0.25
10680,16,Pavlova,0.25
10680,42,Singaporean Hokkien Fried Mee,0.25
10681,21,Sir Rodney's Scones,0.1
10681,19,Teatime Chocolate Biscuits,0.1
10686,17,Alice Mutton,0.2
10687,36,Inlagd Sill,0.25
10687,9,Mishi Kobe Niku,0.25
10688,10,Ikura,0.1
10688,28,Rössle Sauerkraut,0.1
10689,1,Chai,0.25
10690,56,Gnocchi di nonna Alice,0.25
10690,77,Original Frankfurter grüne Soße,0.25
10693,69,Gudbrandsdalsost,0.15
10693,73,Röd Kaviar,0.15
10693,54,Tourtière,0.15
10697,58,Escargots de Bourgogne,0.25
10697,70,Outback Lager,0.25
10697,35,Steeleye Stout,0.25
10697,19,Teatime Chocolate Biscuits,0.25
10698,17,Alice Mutton,0.05
10698,65,Louisiana Fiery Hot Pepper Sauce,0.05
10698,70,Outback Lager,0.05
10698,29,Thüringer Rostbratwurst,0.05
10700,1,Chai,0.2
10700,71,Flotemysost,0.2
10700,34,Sasquatch Ale,0.2
10700,68,Scottish Longbreads,0.2
10701,71,Flotemysost,0.15
10701,76,Lakkalikööri,0.15
10701,59,Raclette Courdavault,0.15
10707,70,Outback Lager,0.15
10712,53,Perth Pasties,0.05
10714,17,Alice Mutton,0.25
10714,2,Chang,0.25
10714,58,Escargots de Bourgogne,0.25
10714,56,Gnocchi di nonna Alice,0.25
10714,47,Zaanse koeken,0.25
10717,69,Gudbrandsdalsost,0.05
10717,21,Sir Rodney's Scones,0.05
10719,18,Carnarvon Tigers,0.25
10719,30,Nord-Ost Matjeshering,0.25
10719,54,Tourtière,0.25
10721,44,Gula Malacca,0.05
10727,17,Alice Mutton,0.05
10727,56,Gnocchi di nonna Alice,0.05
10727,59,Raclette Courdavault,0.05
10730,31,Gorgonzola Telino,0.05
10730,65,Louisiana Fiery Hot Pepper Sauce,0.05
10730,16,Pavlova,0.05
10731,51,Manjimup Dried Apples,0.05
10731,21,Sir Rodney's Scones,0.05
10735,77,Original Frankfurter grüne Soße,0.1
10735,61,Sirop d'érable,0.1
10740,56,Gnocchi di nonna Alice,0.2
10740,45,Rogede sild,0.2
10740,28,Rössle Sauerkraut,0.2
10740,35,Steeleye Stout,0.2
10741,2,Chang,0.2
10743,46,Spegesild,0.05
10744,40,Boston Crab Meat,0.2
10750,59,Raclette Courdavault,0.15
10750,45,Rogede sild,0.15
10750,14,Tofu,0.15
10751,26,Gumbär Gummibärchen,0.1
10751,50,Valkoinen suklaa,0.1
10755,56,Gnocchi di nonna Alice,0.25
10755,69,Gudbrandsdalsost,0.25
10755,57,Ravioli Angelo,0.25
10755,47,Zaanse koeken,0.25
10756,18,Carnarvon Tigers,0.2
10756,69,Gudbrandsdalsost,0.2
10756,36,Inlagd Sill,0.2
10756,68,Scottish Longbreads,0.2
10760,43,Ipoh Coffee,0.25
10760,25,NuNuCa Nuß-Nougat-Creme,0.25
10761,25,NuNuCa Nuß-Nougat-Creme,0.25
10764,3,Aniseed Syrup,0.1
10764,39,Chartreuse verte,0.1
10765,65,Louisiana Fiery Hot Pepper Sauce,0.1
10769,52,Filo Mix,0.05
10769,41,Jack's New England Clam Chowder,0.05
10770,11,Queso Cabrales,0.25
10773,31,Gorgonzola Telino,0.2
10773,75,Rhönbräu Klosterbier,0.2
10774,31,Gorgonzola Telino,0.25
10776,31,Gorgonzola Telino,0.05
10776,51,Manjimup Dried Apples,0.05
10776,45,Rogede sild,0.05
10776,42,Singaporean Hokkien Fried Mee,0.05
10777,42,Singaporean Hokkien Fried Mee,0.2
10781,56,Gnocchi di nonna Alice,0.2
10781,54,Tourtière,0.2
10784,39,Chartreuse verte,0.15
10784,72,Mozzarella di Giovanni,0.15
10786,30,Nord-Ost Matjeshering,0.2
10786,8,Northwoods Cranberry Sauce,0.2
10786,75,Rhönbräu Klosterbier,0.2
10787,2,Chang,0.05
10787,29,Thüringer Rostbratwurst,0.05
10788,75,Rhönbräu Klosterbier,0.05
10788,19,Teatime Chocolate Biscuits,0.05
10790,56,Gnocchi di nonna Alice,0.15
10790,7,Uncle Bob's Organic Dried Pears,0.15
10791,41,Jack's New England Clam Chowder,0.05
10791,29,Thüringer Rostbratwurst,0.05
10794,14,Tofu,0.2
10794,54,Tourtière,0.2
10795,17,Alice Mutton,0.25
10796,69,Gudbrandsdalsost,0.2
10796,26,Gumbär Gummibärchen,0.2
10796,64,Wimmers gute Semmelknödel,0.2
10799,24,Guaraná Fantástica,0.15
10799,13,Konbu,0.15
10800,51,Manjimup Dried Apples,0.1
10800,11,Queso Cabrales,0.1
10800,54,Tourtière,0.1
10801,17,Alice Mutton,0.25
10801,29,Thüringer Rostbratwurst,0.25
10802,51,Manjimup Dried Apples,0.25
10802,30,Nord-Ost Matjeshering,0.25
10802,55,Pâté chinois,0.25
10802,62,Tarte au sucre,0.25
10803,25,NuNuCa Nuß-Nougat-Creme,0.05
10803,59,Raclette Courdavault,0.05
10803,19,Teatime Chocolate Biscuits,0.05
10804,49,Maxilaku,0.15
10806,2,Chang,0.25
10806,74,Longlife Tofu,0.25
10808,56,Gnocchi di nonna Alice,0.15
10808,76,Lakkalikööri,0.15
10812,31,Gorgonzola Telino,0.1
10812,72,Mozzarella di Giovanni,0.1
10813,2,Chang,0.2
10814,48,Chocolade,0.15
10814,43,Ipoh Coffee,0.15
10814,61,Sirop d'érable,0.15
10816,38,Côte de Blaye,0.05
10816,62,Tarte au sucre,0.05
10817,40,Boston Crab Meat,0.15
10817,26,Gumbär Gummibärchen,0.15
10817,62,Tarte au sucre,0.15
10823,77,Original Frankfurter grüne Soße,0.1
10823,11,Queso Cabrales,0.1
10823,59,Raclette Courdavault,0.1
10832,44,Gula Malacca,0.2
10832,13,Konbu,0.2
10832,25,NuNuCa Nuß-Nougat-Creme,0.2
10833,31,Gorgonzola Telino,0.1
10833,53,Perth Pasties,0.1
10833,7,Uncle Bob's Organic Dried Pears,0.1
10834,30,Nord-Ost Matjeshering,0.05
10834,29,Thüringer Rostbratwurst,0.05
10835,77,Original Frankfurter grüne Soße,0.2
10837,76,Lakkalikööri,0.25
10837,47,Zaanse koeken,0.25
10838,18,Carnarvon Tigers,0.25
10838,1,Chai,0.25
10838,36,Inlagd Sill,0.25
10839,58,Escargots de Bourgogne,0.1
10839,72,Mozzarella di Giovanni,0.1
10840,39,Chartreuse verte,0.2
10840,25,NuNuCa Nuß-Nougat-Creme,0.2
10843,51,Manjimup Dried Apples,0.25
10845,58,Escargots de Bourgogne,0.1
10845,42,Singaporean Hokkien Fried Mee,0.1
10845,35,Steeleye Stout,0.1
10845,23,Tunnbröd,0.1
10847,60,Camembert Pierrot,0.2
10847,1,Chai,0.2
10847,71,Flotemysost,0.2
10847,37,Gravad lax,0.2
10847,45,Rogede sild,0.2
10847,19,Teatime Chocolate Biscuits,0.2
10849,26,Gumbär Gummibärchen,0.15
10850,33,Geitost,0.15
10850,25,NuNuCa Nuß-Nougat-Creme,0.15
10850,70,Outback Lager,0.15
10851,2,Chang,0.05
10851,25,NuNuCa Nuß-Nougat-Creme,0.05
10851,59,Raclette Courdavault,0.05
10851,57,Ravioli Angelo,0.05
10854,10,Ikura,0.15
10854,13,Konbu,0.15
10855,65,Louisiana Fiery Hot Pepper Sauce,0.15
10857,26,Gumbär Gummibärchen,0.25
10857,29,Thüringer Rostbratwurst,0.25
10859,24,Guaraná Fantástica,0.25
10859,54,Tourtière,0.25
10859,64,Wimmers gute Semmelknödel,0.25
10863,1,Chai,0.15
10863,58,Escargots de Bourgogne,0.15
10865,39,Chartreuse verte,0.05
10865,38,Côte de Blaye,0.05
10866,2,Chang,0.25
10866,24,Guaraná Fantástica,0.25
10866,30,Nord-Ost Matjeshering,0.25
10868,49,Maxilaku,0.1
10871,17,Alice Mutton,0.05
10871,6,Grandma's Boysenberry Spread,0.05
10871,16,Pavlova,0.05
10872,65,Louisiana Fiery Hot Pepper Sauce,0.05
10872,55,Pâté chinois,0.05
10872,62,Tarte au sucre,0.05
10872,64,Wimmers gute Semmelknödel,0.05
10875,47,Zaanse koeken,0.1
10877,16,Pavlova,0.25
10878,20,Sir Rodney's Marmalade,0.05
10880,70,Outback Lager,0.2
10880,61,Sirop d'érable,0.2
10880,23,Tunnbröd,0.2
10882,49,Maxilaku,0.15
10882,54,Tourtière,0.15
10884,56,Gnocchi di nonna Alice,0.05
10884,65,Louisiana Fiery Hot Pepper Sauce,0.05
10884,21,Sir Rodney's Scones,0.05
10891,30,Nord-Ost Matjeshering,0.05
10892,59,Raclette Courdavault,0.05
10894,69,Gudbrandsdalsost,0.05
10894,13,Konbu,0.05
10894,75,Rhönbräu Klosterbier,0.05
10899,39,Chartreuse verte,0.15
10900,70,Outback Lager,0.25
10902,55,Pâté chinois,0.15
10902,62,Tarte au sucre,0.15
10905,1,Chai,0.05
10908,52,Filo Mix,0.05
10908,7,Uncle Bob's Organic Dried Pears,0.05
10912,11,Queso Cabrales,0.25
10912,29,Thüringer Rostbratwurst,0.25
10913,4,Chef Anton's Cajun Seasoning,0.25
10913,33,Geitost,0.25
10918,60,Camembert Pierrot,0.25
10918,1,Chai,0.25
10923,43,Ipoh Coffee,0.2
10923,67,Laughing Lumberjack Lager,0.2
10923,42,Singaporean Hokkien Fried Mee,0.2
10924,10,Ikura,0.1
10924,28,Rössle Sauerkraut,0.1
10925,52,Filo Mix,0.15
10925,36,Inlagd Sill,0.15
10930,58,Escargots de Bourgogne,0.2
10930,55,Pâté chinois,0.2
10931,13,Konbu,0.15
10932,16,Pavlova,0.1
10932,75,Rhönbräu Klosterbier,0.1
10932,62,Tarte au sucre,0.1
10935,18,Carnarvon Tigers,0.25
10935,23,Tunnbröd,0.25
10936,36,Inlagd Sill,0.2
10938,60,Camembert Pierrot,0.25
10938,71,Flotemysost,0.25
10938,43,Ipoh Coffee,0.25
10938,13,Konbu,0.25
10939,2,Chang,0.15
10939,67,Laughing Lumberjack Lager,0.15
10941,31,Gorgonzola Telino,0.25
