Store_Location,Monthly_Sales,Total_Transactions,Total_Revenue,Average_Revenue,Store_Rank
"Grand Junction",2025-07,60,10850.58,180.8430,142
Lafayette,2024-04,40,10749.40,268.7350,143
Englewood,2024-04,37,10712.09,289.5159,144
Denver,2022-04,89,10664.72,119.8283,145
"Castle Rock",2023-09,40,10594.72,264.8680,146
Loveland,2025-11,54,10589.84,196.1081,147
Berthoud,2025-05,95,10576.05,111.3268,148
Boulder,2025-01,69,10534.06,152.6675,149
Aurora,2024-03,56,10526.70,187.9768,150
"Fort Collins",2025-04,94,10522.06,111.9368,151
Loveland,2025-12,82,10486.30,127.8817,152
Denver,2022-01,74,10467.31,141.4501,153
Denver,2022-09,84,10400.98,123.8212,154
"New Castle",2025-08,66,10394.17,157.4874,155
Aurora,2023-04,52,10391.20,199.8308,156
"Grand Junction",2024-05,41,10388.85,253.3866,157
"Grand Junction",2023-06,40,10327.71,258.1928,158
Sedalia,2025-09,74,10323.91,139.5123,159
Boulder,2025-06,96,10313.59,107.4332,160
"Fort Collins",2025-09,69,10305.27,149.3517,161
Greeley,2023-10,60,10302.51,171.7085,162
Greeley,2024-05,72,10265.68,142.5789,163
Milliken,2025-07,55,10259.51,186.5365,164
Englewood,2023-01,40,10212.18,255.3045,165
Englewood,2024-12,40,10212.18,255.3045,165
Greeley,2024-09,58,10205.79,175.9619,167
"Wheat Ridge",2025-08,69,10201.98,147.8548,168
"Wheat Ridge",2024-08,53,10190.34,192.2706,169
"New Castle",2025-05,83,10162.86,122.4441,170
"Fort Collins",2025-07,69,10140.29,146.9607,171
Thornton,2025-06,93,10120.86,108.8265,172
"Wheat Ridge",2025-03,65,10117.71,155.6571,173
Greeley,2023-06,70,10019.74,143.1391,174
Greeley,2022-12,54,10011.02,185.3893,175
"New Castle",2023-07,53,9987.08,188.4355,176
"New Castle",2024-06,51,9944.78,194.9957,177
"Wheat Ridge",2025-02,67,9935.38,148.2893,178
Loveland,2025-07,64,9887.70,154.4953,179
Loveland,2025-02,51,9876.09,193.6488,180
"Wheat Ridge",2023-09,51,9858.82,193.3102,181
"New Castle",2025-11,62,9806.16,158.1639,182
Parker,2025-08,71,9771.03,137.6201,183
Sedalia,2023-10,40,9764.88,244.1220,184
Thornton,2024-10,52,9764.70,187.7827,185
Thornton,2023-11,51,9754.60,191.2667,186
"Fort Collins",2025-02,59,9754.56,165.3315,187
Boulder,2025-11,82,9711.72,118.4356,188
Greeley,2022-01,61,9680.14,158.6908,189
"Castle Rock",2025-08,60,9660.58,161.0097,190
"New Castle",2025-02,63,9649.98,153.1743,191
Englewood,2025-09,75,9570.97,127.6129,192
Englewood,2025-03,78,9557.23,122.5286,193
Boulder,2024-03,58,9552.39,164.6964,194
Lafayette,2025-03,74,9521.84,128.6735,195
"Fort Collins",2025-03,63,9500.68,150.8044,196
Boulder,2024-08,38,9499.69,249.9918,197
"Fort Collins",2023-03,36,9487.20,263.5333,198
Thornton,2025-09,63,9479.97,150.4757,199
Sedalia,2024-09,39,9468.28,242.7764,200
Boulder,2023-04,56,9441.22,168.5932,201
Littleton,2025-09,45,9413.88,209.1973,202
"Wheat Ridge",2025-07,64,9410.99,147.0467,203
Boulder,2025-12,63,9389.49,149.0395,204
"Fort Collins",2024-02,34,9388.94,276.1453,205
Boulder,2023-09,36,9350.13,259.7258,206
Sedalia,2024-01,50,9342.70,186.8540,207
Lafayette,2024-03,49,9342.52,190.6637,208
"Castle Rock",2023-07,47,9305.31,197.9853,209
Aurora,2025-09,65,9286.13,142.8635,210
"Castle Rock",2025-01,66,9278.92,140.5897,211
"Castle Rock",2024-06,45,9269.57,205.9904,212
Littleton,2024-08,52,9251.08,177.9054,213
Littleton,2023-09,51,9239.08,181.1584,214
"Grand Junction",2025-01,70,9209.44,131.5634,215
Greeley,2022-09,48,9203.65,191.7427,216
Berthoud,2025-03,65,9165.75,141.0115,217
"Fort Collins",2025-11,75,9160.11,122.1348,218
Lafayette,2023-04,46,9155.92,199.0417,219
"New Castle",2025-03,53,9129.25,172.2500,220
Milliken,2025-11,65,9106.48,140.0997,221
Littleton,2025-06,77,9071.02,117.8055,222
Englewood,2025-02,57,9017.08,158.1944,223
Englewood,2023-08,51,9012.16,176.7090,224
Englewood,2024-07,51,9012.16,176.7090,224
Parker,2023-08,45,9006.26,200.1391,226
Parker,2024-07,45,9006.26,200.1391,226
Thornton,2025-07,63,8981.61,142.5652,228
"Wheat Ridge",2023-06,39,8888.59,227.9126,229
"Wheat Ridge",2024-05,39,8888.59,227.9126,229
Berthoud,2023-07,53,8849.63,166.9742,231
Englewood,2025-12,68,8750.47,128.6834,232
Greeley,2024-08,80,8672.34,108.4043,233
Sedalia,2025-03,61,8665.47,142.0569,234
"Fort Collins",2023-07,52,8635.93,166.0756,235
Thornton,2025-08,68,8626.59,126.8616,236
Boulder,2024-01,52,8621.54,165.7988,237
Greeley,2023-09,78,8575.62,109.9438,238
Greeley,2022-04,43,8544.25,198.7035,239
Greeley,2024-01,93,8531.45,91.7360,240
Sedalia,2023-05,34,8522.02,250.6476,241
Loveland,2023-07,38,8518.59,224.1734,242
Loveland,2024-06,38,8518.59,224.1734,242
"New Castle",2025-07,66,8512.84,128.9824,244
Sedalia,2023-03,32,8511.25,265.9766,245
Englewood,2023-12,42,8501.98,202.4281,246
Lafayette,2025-06,90,8463.95,94.0439,247
Lafayette,2025-08,62,8414.74,135.7216,248
Sedalia,2024-03,58,8410.56,145.0097,249
"Castle Rock",2025-05,82,8396.75,102.3994,250
Lafayette,2025-04,75,8363.53,111.5137,251
"Grand Junction",2022-07,30,8318.25,277.2750,252
Englewood,2024-11,41,8313.78,202.7751,253
Sedalia,2024-04,32,8294.03,259.1884,254
"Castle Rock",2025-07,54,8266.07,153.0754,255
"New Castle",2025-01,62,8260.62,133.2358,256
Berthoud,2025-08,56,8258.04,147.4650,257
"Wheat Ridge",2024-01,51,8229.16,161.3561,258
Sedalia,2023-04,56,8182.57,146.1173,259
"Grand Junction",2023-07,50,8138.98,162.7796,260
Parker,2025-09,67,8138.44,121.4693,261
Lafayette,2023-11,45,8136.62,180.8138,262
Lafayette,2024-10,45,8136.62,180.8138,262
Berthoud,2025-02,66,8125.58,123.1148,264
Lafayette,2023-09,36,8107.14,225.1983,265
Lafayette,2024-08,36,8107.14,225.1983,265
Loveland,2025-04,90,8104.71,90.0523,267
Thornton,2025-05,99,8101.73,81.8357,268
"Grand Junction",2024-06,49,8077.84,164.8539,269
Boulder,2023-05,37,8061.47,217.8776,270
Aurora,2025-04,89,8024.43,90.1621,271
Berthoud,2024-08,37,7982.92,215.7546,272
Berthoud,2023-09,36,7976.90,221.5806,273
"Castle Rock",2024-10,46,7970.06,173.2622,274
Berthoud,2025-04,81,7955.56,98.2168,275
Boulder,2024-04,35,7950.30,227.1514,276
Littleton,2024-03,44,7941.94,180.4986,277
"New Castle",2024-08,40,7924.85,198.1213,278
Greeley,2022-03,58,7922.74,136.5990,279
Littleton,2025-07,72,7908.68,109.8428,280
Littleton,2023-04,42,7908.55,188.2988,281
"New Castle",2023-09,38,7877.25,207.2961,282
"New Castle",2024-01,49,7872.79,160.6692,283
Littleton,2025-12,68,7857.97,115.5584,284
Sedalia,2025-06,68,7847.76,115.4082,285
Berthoud,2025-09,68,7840.68,115.3041,286
Sedalia,2024-08,46,7829.59,170.2085,287
Littleton,2025-01,65,7828.46,120.4378,288
Milliken,2024-03,43,7822.04,181.9079,289
Lafayette,2025-09,50,7813.95,156.2790,290
Littleton,2025-04,93,7809.50,83.9731,291
Thornton,2025-02,57,7793.42,136.7267,292
"Fort Collins",2025-06,79,7788.60,98.5899,293
Milliken,2023-04,41,7788.02,189.9517,294
"Castle Rock",2023-11,44,7777.71,176.7661,295
Boulder,2023-02,45,7757.84,172.3964,296
Loveland,2023-10,43,7742.08,180.0484,297
Milliken,2023-12,53,7739.94,146.0366,298
"Grand Junction",2023-08,43,7695.92,178.9749,299
"Grand Junction",2024-07,43,7695.92,178.9749,299
Greeley,2023-02,89,7687.03,86.3711,301
Englewood,2024-10,48,7683.09,160.0644,302
Milliken,2025-05,83,7650.27,92.1719,303
Milliken,2025-04,94,7648.43,81.3663,304
Sedalia,2025-01,67,7636.00,113.9701,305
Sedalia,2023-02,44,7626.62,173.3323,306
Boulder,2022-04,33,7625.27,231.0688,307
Aurora,2023-07,55,7615.79,138.4689,308
Aurora,2024-06,54,7591.51,140.5835,309
Milliken,2024-11,51,7575.18,148.5329,310
Thornton,2023-07,52,7555.81,145.3040,311
Loveland,2022-09,33,7549.83,228.7827,312
"Grand Junction",2025-04,79,7543.51,95.4875,313
Sedalia,2023-09,45,7532.99,167.3998,314
Loveland,2025-03,69,7523.79,109.0404,315
Englewood,2023-11,47,7494.89,159.4657,316
Thornton,2023-01,42,7475.28,177.9829,317
Thornton,2024-12,42,7475.28,177.9829,317
"Grand Junction",2025-06,84,7418.24,88.3124,319
"Castle Rock",2023-03,48,7408.15,154.3365,320
"Wheat Ridge",2025-11,73,7378.45,101.0747,321
Sedalia,2025-02,47,7373.55,156.8840,322
Boulder,2025-04,82,7368.41,89.8587,323
Loveland,2024-09,40,7348.28,183.7070,324
Lafayette,2022-05,37,7322.53,197.9062,325
"Castle Rock",2024-02,45,7318.09,162.6242,326
Denver,2022-10,94,7308.30,77.7479,327
Milliken,2025-08,69,7302.71,105.8364,328
Berthoud,2024-05,42,7250.68,172.6352,329
Lafayette,2022-09,32,7233.90,226.0594,330
Loveland,2023-03,47,7233.76,153.9098,331
Berthoud,2025-11,52,7225.77,138.9571,332
Parker,2023-01,56,7217.72,128.8879,333
Parker,2024-12,56,7217.72,128.8879,333
Littleton,2023-10,43,7193.00,167.2791,335
"Wheat Ridge",2025-06,85,7184.17,84.5196,336
Littleton,2024-09,42,7181.00,170.9762,337
Greeley,2022-07,55,7175.40,130.4618,338
"New Castle",2023-02,45,7172.52,159.3893,339
Lafayette,2025-02,55,7149.19,129.9853,340
Milliken,2025-03,67,7147.48,106.6788,341
Berthoud,2024-06,50,7094.03,141.8806,342
"New Castle",2025-09,52,7092.19,136.3883,343
Milliken,2023-06,45,7091.41,157.5869,344
Milliken,2024-05,45,7091.41,157.5869,344
Aurora,2022-03,29,7089.67,244.4714,346
Boulder,2024-10,41,7053.97,172.0480,347
Boulder,2023-01,49,7043.22,143.7392,348
Boulder,2024-12,49,7043.22,143.7392,348
Berthoud,2025-07,69,7031.13,101.9004,350
Boulder,2023-11,40,7022.08,175.5520,351
Lafayette,2023-06,49,6976.33,142.3741,352
Lafayette,2024-05,49,6976.33,142.3741,352
Sedalia,2024-02,27,6960.67,257.8026,354
Englewood,2025-06,86,6947.08,80.7800,355
Englewood,2022-02,38,6946.48,182.8021,356
Berthoud,2023-10,40,6946.05,173.6513,357
Berthoud,2024-09,39,6940.03,177.9495,358
"Wheat Ridge",2025-01,73,6922.91,94.8344,359
Milliken,2025-06,75,6893.88,91.9184,360
Milliken,2025-02,55,6866.27,124.8413,361
Boulder,2025-05,97,6845.76,70.5748,362
Thornton,2024-06,50,6840.80,136.8160,363
Aurora,2024-01,51,6810.61,133.5414,364
Englewood,2025-05,98,6759.04,68.9698,365
Boulder,2023-08,49,6733.22,137.4127,366
Boulder,2024-07,49,6733.22,137.4127,366
"Fort Collins",2024-06,49,6715.59,137.0529,368
Parker,2022-06,22,6705.50,304.7955,369
Parker,2024-10,38,6702.05,176.3697,370
"Wheat Ridge",2025-12,58,6701.19,115.5378,371
Loveland,2024-02,39,6694.34,171.6497,372
Englewood,2024-03,45,6668.73,148.1940,373
Parker,2023-11,37,6654.44,179.8497,374
"Castle Rock",2024-05,37,6653.45,179.8230,375
Lafayette,2025-11,52,6638.12,127.6562,376
Berthoud,2025-12,57,6633.38,116.3751,377
"Castle Rock",2022-06,30,6628.44,220.9480,378
"Castle Rock",2023-06,35,6617.71,189.0774,379
Aurora,2023-08,47,6579.21,139.9832,380
Aurora,2024-07,47,6579.21,139.9832,380
Lafayette,2025-07,45,6576.27,146.1393,382
Boulder,2025-03,70,6557.67,93.6810,383
Sedalia,2022-07,27,6552.82,242.6970,384
Parker,2025-04,82,6548.26,79.8568,385
Parker,2022-07,28,6540.83,233.6011,386
Thornton,2023-10,41,6538.33,159.4715,387
Thornton,2024-09,40,6525.20,163.1300,388
Boulder,2022-03,31,6513.60,210.1161,389
"Grand Junction",2022-04,28,6501.92,232.2114,390
Aurora,2025-06,81,6498.49,80.2283,391
Aurora,2023-01,45,6496.05,144.3567,392
Aurora,2024-12,45,6496.05,144.3567,392
Englewood,2022-09,29,6478.18,223.3855,394
Englewood,2022-04,32,6467.13,202.0978,395
"New Castle",2025-12,61,6466.38,106.0062,396
"Grand Junction",2023-01,42,6451.46,153.6062,397
"Grand Junction",2024-12,42,6451.46,153.6062,397
Greeley,2022-02,53,6435.94,121.4328,399
"Fort Collins",2023-08,57,6433.94,112.8761,400
"Fort Collins",2024-07,57,6433.94,112.8761,400
Littleton,2023-01,36,6419.95,178.3319,402
Littleton,2024-12,36,6419.95,178.3319,402
Englewood,2023-04,42,6382.40,151.9619,404
Loveland,2025-05,87,6351.19,73.0022,405
Thornton,2025-03,53,6337.41,119.5738,406
Aurora,2022-10,29,6329.77,218.2679,407
Milliken,2023-03,42,6329.45,150.7012,408
"Castle Rock",2025-04,81,6292.32,77.6830,409
"Fort Collins",2023-11,46,6269.37,136.2907,410
"Fort Collins",2024-10,46,6269.37,136.2907,410
Parker,2025-05,86,6265.83,72.8585,412
"New Castle",2023-01,41,6264.70,152.7976,413
"New Castle",2024-12,41,6264.70,152.7976,413
Milliken,2025-12,72,6256.93,86.9018,415
"Castle Rock",2025-06,87,6202.04,71.2878,416
"Wheat Ridge",2023-05,40,6179.87,154.4968,417
Berthoud,2023-01,40,6157.35,153.9338,418
Berthoud,2024-12,40,6157.35,153.9338,418
"Fort Collins",2022-12,26,6134.07,235.9258,420
"Castle Rock",2023-01,27,6131.45,227.0907,421
"Castle Rock",2024-12,27,6131.45,227.0907,421
"New Castle",2023-05,47,6118.56,130.1821,423
"Fort Collins",2022-05,32,6112.04,191.0013,424
Aurora,2023-10,40,6099.32,152.4830,425
"Wheat Ridge",2024-04,38,6098.37,160.4834,426
"New Castle",2024-04,46,6088.40,132.3565,427
Aurora,2024-09,39,6072.92,155.7159,428
Milliken,2024-02,39,6071.43,155.6777,429
Littleton,2024-05,42,6070.76,144.5419,430
Englewood,2022-01,31,6069.84,195.8013,431
"Grand Junction",2024-10,38,6069.39,159.7208,432
Aurora,2025-01,67,6067.99,90.5670,433
Loveland,2023-12,37,6056.95,163.7014,434
Loveland,2024-11,36,6050.95,168.0819,435
Loveland,2024-08,36,6048.98,168.0272,436
Parker,2024-08,50,6041.17,120.8234,437
Boulder,2023-12,46,6038.76,131.2774,438
"Grand Junction",2023-11,37,6011.69,162.4781,439
Boulder,2024-11,45,6006.87,133.4860,440
Berthoud,2025-01,58,6003.16,103.5028,441
Englewood,2022-07,31,6003.15,193.6500,442
Littleton,2023-06,39,5988.16,153.5426,443
Milliken,2022-09,27,5985.02,221.6674,444
Greeley,2022-08,52,5982.16,115.0415,445
Englewood,2022-10,28,5979.65,213.5589,446
"Fort Collins",2022-06,30,5976.87,199.2290,447
"Grand Junction",2025-02,51,5970.04,117.0596,448
Englewood,2024-01,31,5961.96,192.3213,449
Thornton,2025-04,86,5942.34,69.0970,450
Parker,2023-04,36,5938.36,164.9544,451
Parker,2024-03,36,5938.36,164.9544,451
Parker,2023-09,49,5914.99,120.7141,453
Sedalia,2023-08,44,5903.16,134.1627,454
Sedalia,2024-07,44,5903.16,134.1627,454
Parker,2022-10,25,5886.82,235.4728,456
Aurora,2025-07,72,5877.57,81.6329,457
Aurora,2024-10,45,5876.03,130.5784,458
Aurora,2023-11,43,5840.47,135.8249,459
"Wheat Ridge",2023-02,44,5816.54,132.1941,460
"New Castle",2022-03,23,5812.41,252.7135,461
"Grand Junction",2023-10,43,5791.53,134.6867,462
"Grand Junction",2024-09,43,5791.53,134.6867,462
"Wheat Ridge",2022-12,29,5784.72,199.4731,464
Lafayette,2022-02,25,5760.99,230.4396,465
Englewood,2023-02,28,5759.44,205.6943,466
Boulder,2023-03,50,5756.99,115.1398,467
Berthoud,2024-01,48,5739.29,119.5685,468
"Castle Rock",2022-07,30,5704.87,190.1623,469
"Wheat Ridge",2025-09,59,5697.24,96.5634,470
Sedalia,2023-07,42,5687.64,135.4200,471
Aurora,2023-05,52,5671.29,109.0633,472
Sedalia,2024-06,41,5667.28,138.2263,473
Thornton,2023-05,39,5666.51,145.2951,474
"Castle Rock",2023-05,49,5663.92,115.5902,475
"Castle Rock",2024-04,49,5663.92,115.5902,475
"New Castle",2022-11,25,5662.69,226.5076,477
Sedalia,2025-04,88,5661.45,64.3347,478
Lafayette,2022-08,29,5657.55,195.0879,479
Berthoud,2023-02,44,5656.86,128.5650,480
Loveland,2023-09,33,5655.18,171.3691,481
"Wheat Ridge",2025-04,90,5635.31,62.6146,482
Loveland,2024-01,45,5610.06,124.6680,483
"Castle Rock",2023-10,43,5597.69,130.1788,484
Parker,2025-01,84,5596.88,66.6295,485
"Castle Rock",2025-03,53,5583.40,105.3472,486
Englewood,2023-07,40,5576.32,139.4080,487
Milliken,2023-07,43,5570.42,129.5447,488
Milliken,2024-06,43,5570.42,129.5447,488
"Castle Rock",2022-08,27,5569.91,206.2930,490
Loveland,2023-08,36,5566.97,154.6381,491
Loveland,2024-07,36,5566.97,154.6381,491
"Grand Junction",2024-03,52,5565.80,107.0346,493
Aurora,2024-04,48,5535.79,115.3290,494
Berthoud,2023-03,41,5520.06,134.6356,495
Berthoud,2023-08,33,5504.76,166.8109,496
Berthoud,2024-07,33,5504.76,166.8109,496
Lafayette,2023-07,43,5501.43,127.9402,498
Lafayette,2024-06,43,5501.43,127.9402,498
Berthoud,2023-06,39,5495.08,140.8995,500
Aurora,2024-05,36,5493.47,152.5964,501
Berthoud,2025-06,81,5472.34,67.5598,502
Aurora,2023-06,35,5469.19,156.2626,503
"New Castle",2023-12,45,5455.36,121.2302,504
Berthoud,2024-02,38,5449.75,143.4145,505
Sedalia,2022-08,27,5442.03,201.5567,506
Lafayette,2023-10,44,5435.15,123.5261,507
Lafayette,2024-09,44,5435.15,123.5261,507
Loveland,2022-01,25,5413.95,216.5580,509
"New Castle",2024-11,44,5397.66,122.6741,510
Aurora,2023-12,45,5393.94,119.8653,511
"Grand Junction",2023-04,49,5386.56,109.9298,512
Littleton,2022-07,32,5371.53,167.8603,513
Milliken,2023-05,37,5366.17,145.0316,514
"Wheat Ridge",2024-10,44,5360.89,121.8384,515
Aurora,2024-11,43,5358.38,124.6135,516
"Wheat Ridge",2023-11,43,5358.01,124.6049,517
Englewood,2024-06,39,5357.02,137.3595,518
"Castle Rock",2024-09,42,5332.62,126.9671,519
Milliken,2024-04,35,5332.15,152.3471,520
Littleton,2025-02,40,5330.63,133.2658,521
Lafayette,2023-01,38,5327.95,140.2092,522
Lafayette,2024-12,38,5327.95,140.2092,522
Berthoud,2024-03,51,5318.63,104.2869,524
"New Castle",2023-03,37,5318.61,143.7462,525
Thornton,2024-08,37,5293.91,143.0786,526
Aurora,2025-05,78,5284.19,67.7460,527
Thornton,2023-09,36,5280.78,146.6883,528
Parker,2024-01,46,5276.87,114.7146,529
Thornton,2024-04,38,5273.30,138.7711,530
Englewood,2022-05,27,5270.39,195.1996,531
Parker,2022-02,26,5258.15,202.2365,532
Berthoud,2023-04,49,5255.09,107.2467,533
Milliken,2023-08,54,5226.37,96.7846,534
Milliken,2024-07,54,5226.37,96.7846,534
"Grand Junction",2023-03,41,5194.12,126.6859,536
"New Castle",2022-02,36,5187.31,144.0919,537
Parker,2023-02,42,5183.18,123.4090,538
Aurora,2023-02,46,5176.17,112.5254,539
"Fort Collins",2022-08,25,5173.23,206.9292,540
Thornton,2022-09,27,5168.14,191.4126,541
"New Castle",2022-10,33,5168.00,156.6061,542
Thornton,2023-08,42,5127.83,122.0912,543
Thornton,2024-07,42,5127.83,122.0912,543
"Fort Collins",2022-04,30,5121.92,170.7307,545
Thornton,2024-01,46,5113.83,111.1702,546
Loveland,2023-04,50,5110.29,102.2058,547
Loveland,2024-03,50,5110.29,102.2058,547
Parker,2025-06,79,5101.79,64.5796,549
"Grand Junction",2024-02,37,5095.64,137.7200,550
Boulder,2024-02,46,5070.20,110.2217,551
"Castle Rock",2023-04,51,5063.06,99.2757,552
"Castle Rock",2024-03,51,5063.06,99.2757,552
Thornton,2024-03,39,5062.57,129.8095,554
Parker,2025-02,54,5060.27,93.7087,555
Milliken,2022-03,32,5055.66,157.9894,556
Englewood,2022-03,32,5050.44,157.8263,557
Lafayette,2023-12,47,5032.21,107.0683,558
Lafayette,2024-11,47,5032.21,107.0683,558
Littleton,2023-12,44,5008.51,113.8298,560
Englewood,2022-08,28,4998.61,178.5218,561
Littleton,2023-08,41,4987.30,121.6415,562
